rank,rule,recommendation,impact,coverage_%,cumulative_impact,suggested_tier
102,(card_Category == Blue) AND (Avg_Utilization_Ratio > 0) AND ...,⚠️ RARE,0.91,5.9%,243.41,Tier 4: Rare
70,(Avg_Utilization_Ratio <= 0.174) AND (Avg_Utilization_Ratio ...,⚠️ RARE,0.90,5.9%,244.31,Tier 4: Rare
202,(income_Category == $60K - $80K) AND (Customer_Age <= 49) AN...,⚠️ RARE,0.87,4.4%,245.18,Tier 4: Rare
152,(card_Category == Blue) AND (income_Category == $80K - $120K...,⚠️ RARE,0.86,4.4%,246.04,Tier 4: Rare
205,(income_Category == $40K - $60K) AND (attrition_Flag == Exis...,⚠️ RARE,0.82,5.9%,246.86,Tier 4: Rare
2,(card_Category == Blue) AND (income_Category == $120K +),⚠️ RARE,0.82,7.9%,247.68,Tier 4: Rare
127,(card_Category == Blue) AND (Avg_Utilization_Ratio > 0) AND ...,⚠️ RARE,0.80,7.4%,248.48,Tier 4: Rare
42,(card_Category == Blue) AND (CLIENTNUM <= 711398433),⚠️ RARE,0.80,4.4%,249.28,Tier 4: Rare
248,(Total_Trans_Ct > 71) AND (education_Level == Graduate),⚠️ RARE,0.72,7.4%,250.00,Tier 4: Rare
187,(Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contact...,⚠️ RARE,0.71,4.4%,250.71,Tier 4: Rare
22,(card_Category == Blue) AND (income_Category == $80K - $120K...,⚠️ RARE,0.71,4.4%,251.42,Tier 4: Rare
256,(education_Level == College),⚠️ RARE,0.70,5.9%,252.12,Tier 4: Rare
4,(card_Category == Blue) AND (income_Category == $80K - $120K...,⚠️ RARE,0.69,4.4%,252.81,Tier 4: Rare
223,(income_Category == $60K - $80K) AND (attrition_Flag == Exis...,⚠️ RARE,0.68,4.4%,253.49,Tier 4: Rare
153,(card_Category == Blue) AND (income_Category == $80K - $120K...,⚠️ RARE,0.67,5.9%,254.16,Tier 4: Rare
230,(card_Category == Blue) AND (income_Category == $60K - $80K)...,⚠️ RARE,0.67,5.9%,254.83,Tier 4: Rare
11,(income_Category == $80K - $120K) AND (education_Level == Gr...,⚠️ RARE,0.63,4.8%,255.46,Tier 4: Rare
161,(card_Category == Blue) AND (Avg_Utilization_Ratio > 0) AND ...,⚠️ RARE,0.63,7.4%,256.09,Tier 4: Rare
91,(Avg_Utilization_Ratio <= 0.125) AND (Avg_Utilization_Ratio ...,⚠️ RARE,0.60,4.4%,256.69,Tier 4: Rare
149,(card_Category == Blue) AND (income_Category == $80K - $120K...,⚠️ RARE,0.59,7.4%,257.28,Tier 4: Rare
199,(income_Category == $120K +) AND (card_Category == Blue) AND...,⚠️ RARE,0.57,5.9%,257.85,Tier 4: Rare
98,(income_Category == $80K - $120K) AND (education_Level == Un...,⚠️ RARE,0.54,4.4%,258.39,Tier 4: Rare
52,(Total_Trans_Amt <= 5638) AND (income_Category == $40K - $60...,⚠️ RARE,0.50,4.4%,258.89,Tier 4: Rare
215,(card_Category == Blue) AND (Naive_Bayes_Classifier_Attritio...,⚠️ RARE,0.41,29.5%,259.30,Tier 4: Rare
172,(income_Category == $60K - $80K) AND (marital_Status == Marr...,⚠️ RARE,0.41,7.4%,259.71,Tier 4: Rare
106,(income_Category == $80K - $120K) AND (marital_Status == Mar...,⚠️ RARE,0.37,5.9%,260.08,Tier 4: Rare
107,(income_Category == $120K +) AND (card_Category == Blue),⚠️ RARE,0.29,10.3%,260.37,Tier 4: Rare
271,(Customer_Age <= 48) AND (Avg_Utilization_Ratio > 0.063) AND...,⚠️ RARE,0.28,4.4%,260.65,Tier 4: Rare
178,(income_Category == $40K - $60K) AND (Total_Trans_Amt > 4797...,⚠️ RARE,0.28,4.4%,260.93,Tier 4: Rare
24,(income_Category == $80K - $120K) AND (Avg_Utilization_Ratio...,⚠️ RARE,0.22,4.4%,261.15,Tier 4: Rare
15,(income_Category == $60K - $80K),⚠️ RARE,0.21,7.7%,261.36,Tier 4: Rare
122,(Total_Trans_Ct <= 92) AND (income_Category == $120K +),⚠️ RARE,0.21,7.4%,261.57,Tier 4: Rare
203,(income_Category == $60K - $80K) AND (Customer_Age <= 49) AN...,⚠️ RARE,0.20,4.4%,261.77,Tier 4: Rare
50,(Total_Trans_Amt <= 5638) AND (income_Category == $60K - $80...,⚠️ RARE,0.16,5.9%,261.93,Tier 4: Rare
220,(card_Category == Blue) AND (Naive_Bayes_Classifier_Attritio...,⚠️ RARE,0.12,4.4%,262.05,Tier 4: Rare
188,(Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contact...,⚠️ RARE,0.10,8.9%,262.15,Tier 4: Rare
219,(card_Category == Blue) AND (Naive_Bayes_Classifier_Attritio...,⚠️ RARE,0.09,5.9%,262.24,Tier 4: Rare
162,(card_Category == Blue) AND (Avg_Utilization_Ratio > 0) AND ...,⚠️ RARE,0.07,5.9%,262.31,Tier 4: Rare
142,(card_Category == Blue) AND (education_Level == Graduate) AN...,⚠️ RARE,0.07,4.4%,262.38,Tier 4: Rare
3,(card_Category == Blue) AND (income_Category == $80K - $120K...,⚠️ RARE,0.06,10.3%,262.44,Tier 4: Rare
186,(Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contact...,⚠️ RARE,0.06,4.4%,262.50,Tier 4: Rare
193,(Avg_Utilization_Ratio > 0) AND (Avg_Utilization_Ratio > 0.0...,⚠️ RARE,0.05,4.4%,262.55,Tier 4: Rare
210,(Avg_Utilization_Ratio <= 0.094) AND (Avg_Utilization_Ratio ...,⚠️ RARE,0.03,4.4%,262.58,Tier 4: Rare
100,(card_Category == Silver) AND (income_Category == Less than ...,⚠️ RARE,0.00,5.9%,262.58,Tier 4: Rare
113,(Avg_Utilization_Ratio > 0) AND (Avg_Utilization_Ratio > 0.2...,⚠️ RARE,0.00,5.9%,262.58,Tier 4: Rare
238,(Avg_Utilization_Ratio <= 0.146) AND (Avg_Utilization_Ratio ...,⚠️ RARE,0.00,7.4%,262.58,Tier 4: Rare
267,(Customer_Age > 48) AND (Avg_Utilization_Ratio > 0.174) AND ...,❌ AVOID (negative),-0.03,4.4%,262.55,❌ Skip
76,(income_Category == $60K - $80K) AND (Avg_Utilization_Ratio ...,❌ AVOID (negative),-0.03,4.4%,262.52,❌ Skip
250,(Total_Trans_Ct <= 71) AND (income_Category == $60K - $80K),❌ AVOID (negative),-0.06,4.4%,262.46,❌ Skip
260,(education_Level == Graduate) AND (Customer_Age > 49),❌ AVOID (negative),-0.06,4.4%,262.40,❌ Skip
141,(card_Category == Blue) AND (education_Level == Graduate) AN...,❌ AVOID (negative),-0.08,7.4%,262.32,❌ Skip
114,(Avg_Utilization_Ratio > 0) AND (Avg_Utilization_Ratio > 0.2...,❌ AVOID (negative),-0.10,4.4%,262.22,❌ Skip
232,(card_Category == Blue) AND (income_Category == $80K - $120K...,❌ AVOID (negative),-0.10,4.4%,262.12,❌ Skip
55,(Total_Trans_Amt <= 5638) AND (income_Category == $80K - $12...,❌ AVOID (negative),-0.13,5.9%,261.99,❌ Skip
154,(card_Category == Blue) AND (income_Category == $40K - $60K)...,❌ AVOID (negative),-0.13,4.4%,261.86,❌ Skip
280,(Avg_Utilization_Ratio > 0) AND (Avg_Utilization_Ratio > 0.0...,❌ AVOID (negative),-0.13,4.4%,261.73,❌ Skip
227,(card_Category == Blue) AND (Avg_Utilization_Ratio > 0) AND ...,❌ AVOID (negative),-0.13,4.4%,261.60,❌ Skip
27,(income_Category == Unknown) AND (Avg_Utilization_Ratio > 0....,❌ AVOID (negative),-0.15,4.4%,261.45,❌ Skip
164,(card_Category == Blue) AND (Avg_Utilization_Ratio <= 0) AND...,❌ AVOID (negative),-0.15,4.4%,261.30,❌ Skip
36,(Avg_Utilization_Ratio > 0.151) AND (Avg_Utilization_Ratio <...,❌ AVOID (negative),-0.16,11.8%,261.14,❌ Skip
195,(Avg_Utilization_Ratio > 0) AND (Avg_Utilization_Ratio > 0.0...,❌ AVOID (negative),-0.17,4.4%,260.97,❌ Skip
197,(Avg_Utilization_Ratio > 0) AND (Avg_Utilization_Ratio > 0.0...,❌ AVOID (negative),-0.17,4.4%,260.80,❌ Skip
217,(card_Category == Blue) AND (Naive_Bayes_Classifier_Attritio...,❌ AVOID (negative),-0.18,4.4%,260.62,❌ Skip
116,(Avg_Utilization_Ratio <= 0) AND (Naive_Bayes_Classifier_Att...,❌ AVOID (negative),-0.19,8.9%,260.43,❌ Skip
173,(income_Category == $40K - $60K) AND (CLIENTNUM > 721120008),❌ AVOID (negative),-0.19,4.4%,260.24,❌ Skip
252,(income_Category == Less than $40K) AND (education_Level == ...,❌ AVOID (negative),-0.22,4.4%,260.02,❌ Skip
204,(income_Category == $60K - $80K) AND (Customer_Age > 49),❌ AVOID (negative),-0.25,5.9%,259.77,❌ Skip
240,(Avg_Utilization_Ratio <= 0.146) AND (Avg_Utilization_Ratio ...,❌ AVOID (negative),-0.30,4.4%,259.47,❌ Skip
196,(Avg_Utilization_Ratio > 0) AND (Avg_Utilization_Ratio > 0.0...,❌ AVOID (negative),-0.30,5.9%,259.17,❌ Skip
270,(Customer_Age <= 48) AND (Avg_Utilization_Ratio > 0.063),❌ AVOID (negative),-0.31,8.9%,258.86,❌ Skip
112,(Avg_Utilization_Ratio > 0) AND (Avg_Utilization_Ratio > 0.2...,❌ AVOID (negative),-0.31,14.8%,258.55,❌ Skip
51,(Total_Trans_Amt <= 5638) AND (income_Category == $40K - $60...,❌ AVOID (negative),-0.31,8.9%,258.24,❌ Skip
95,(Avg_Utilization_Ratio > 0.125) AND (education_Level == High...,❌ AVOID (negative),-0.33,5.9%,257.91,❌ Skip
108,(income_Category == $120K +) AND (card_Category == Blue) AND...,❌ AVOID (negative),-0.34,7.4%,257.57,❌ Skip
194,(Avg_Utilization_Ratio > 0) AND (Avg_Utilization_Ratio > 0.0...,❌ AVOID (negative),-0.34,7.4%,257.23,❌ Skip
137,(Avg_Utilization_Ratio > 0) AND (Avg_Utilization_Ratio > 0.1...,❌ AVOID (negative),-0.35,4.4%,256.88,❌ Skip
63,(income_Category == $80K - $120K) AND (Total_Trans_Amt <= 47...,❌ AVOID (negative),-0.36,7.4%,256.52,❌ Skip
96,(Avg_Utilization_Ratio > 0.125) AND (education_Level == Unkn...,❌ AVOID (negative),-0.37,5.9%,256.15,❌ Skip
38,(Avg_Utilization_Ratio > 0.151) AND (Avg_Utilization_Ratio >...,❌ AVOID (negative),-0.38,4.4%,255.77,❌ Skip
258,(education_Level == High School) AND (income_Category == Les...,❌ AVOID (negative),-0.40,4.4%,255.37,❌ Skip
289,(Avg_Utilization_Ratio > 0) AND (Avg_Utilization_Ratio > 0.1...,❌ AVOID (negative),-0.40,8.9%,254.97,❌ Skip
163,(card_Category == Blue) AND (Avg_Utilization_Ratio <= 0) AND...,❌ AVOID (negative),-0.41,10.3%,254.56,❌ Skip
14,(income_Category == $40K - $60K) AND (marital_Status == Marr...,❌ AVOID (negative),-0.42,4.4%,254.14,❌ Skip
12,(income_Category == Unknown),❌ AVOID (negative),-0.45,6.1%,253.69,❌ Skip
198,(Avg_Utilization_Ratio <= 0) AND (income_Category == $80K - ...,❌ AVOID (negative),-0.45,5.2%,253.24,❌ Skip
192,(Avg_Utilization_Ratio > 0) AND (Avg_Utilization_Ratio > 0.0...,❌ AVOID (negative),-0.46,22.1%,252.78,❌ Skip
74,(Avg_Utilization_Ratio > 0.174) AND (education_Level == Unkn...,❌ AVOID (negative),-0.48,4.4%,252.30,❌ Skip
175,(income_Category == Less than $40K) AND (Avg_Utilization_Rat...,❌ AVOID (negative),-0.49,4.4%,251.81,❌ Skip
174,(income_Category == $40K - $60K) AND (CLIENTNUM <= 721120008...,❌ AVOID (negative),-0.52,4.4%,251.29,❌ Skip
129,(card_Category == Blue) AND (Avg_Utilization_Ratio > 0) AND ...,❌ AVOID (negative),-0.52,11.8%,250.77,❌ Skip
148,(income_Category == $120K +) AND (Months_on_book > 36),❌ AVOID (negative),-0.53,5.9%,250.24,❌ Skip
6,(card_Category == Blue) AND (income_Category == Less than $4...,❌ AVOID (negative),-0.54,5.9%,249.70,❌ Skip
272,(Customer_Age <= 48) AND (Avg_Utilization_Ratio > 0.063) AND...,❌ AVOID (negative),-0.55,4.4%,249.15,❌ Skip
170,(card_Category == Blue) AND (education_Level == Graduate) AN...,❌ AVOID (negative),-0.55,4.4%,248.60,❌ Skip
101,(card_Category == Blue) AND (Avg_Utilization_Ratio > 0),❌ AVOID (negative),-0.61,21.8%,247.99,❌ Skip
28,(income_Category == Unknown) AND (Avg_Utilization_Ratio <= 0...,❌ AVOID (negative),-0.62,4.4%,247.37,❌ Skip
64,(income_Category == $40K - $60K) AND (education_Level == Gra...,❌ AVOID (negative),-0.62,4.4%,246.75,❌ Skip
268,(Customer_Age > 48) AND (Avg_Utilization_Ratio > 0.174) AND ...,❌ AVOID (negative),-0.63,4.4%,246.12,❌ Skip
66,(income_Category == Less than $40K) AND (education_Level == ...,❌ AVOID (negative),-0.63,4.4%,245.49,❌ Skip
144,(card_Category == Blue) AND (education_Level == Unknown),❌ AVOID (negative),-0.65,4.4%,244.84,❌ Skip
155,(card_Category == Blue) AND (income_Category == $40K - $60K)...,❌ AVOID (negative),-0.68,4.4%,244.16,❌ Skip
82,(Avg_Utilization_Ratio <= 0.138) AND (Avg_Utilization_Ratio ...,❌ AVOID (negative),-0.71,4.4%,243.45,❌ Skip
218,(card_Category == Blue) AND (Naive_Bayes_Classifier_Attritio...,❌ AVOID (negative),-0.71,10.3%,242.74,❌ Skip
221,(card_Category == Blue) AND (Naive_Bayes_Classifier_Attritio...,❌ AVOID (negative),-0.74,4.4%,242.00,❌ Skip
54,(Total_Trans_Amt <= 5638) AND (income_Category == $80K - $12...,❌ AVOID (negative),-0.74,8.9%,241.26,❌ Skip
45,(card_Category == Blue) AND (CLIENTNUM > 711398433) AND (inc...,❌ AVOID (negative),-0.76,4.4%,240.50,❌ Skip
21,(card_Category == Blue) AND (income_Category == $120K +) AND...,❌ AVOID (negative),-0.77,5.9%,239.73,❌ Skip
53,(Total_Trans_Amt <= 5638) AND (income_Category == $40K - $60...,❌ AVOID (negative),-0.78,4.4%,238.95,❌ Skip
266,(Customer_Age > 48) AND (Avg_Utilization_Ratio > 0.174),❌ AVOID (negative),-0.80,8.9%,238.15,❌ Skip
290,(Avg_Utilization_Ratio > 0) AND (Avg_Utilization_Ratio > 0.1...,❌ AVOID (negative),-0.81,4.4%,237.34,❌ Skip
124,(Total_Trans_Ct <= 92) AND (income_Category == $40K - $60K) ...,❌ AVOID (negative),-0.81,4.4%,236.53,❌ Skip
278,(Avg_Utilization_Ratio > 0) AND (Avg_Utilization_Ratio > 0.0...,❌ AVOID (negative),-0.82,23.6%,235.71,❌ Skip
169,(card_Category == Blue) AND (education_Level == High School),❌ AVOID (negative),-0.86,8.9%,234.85,❌ Skip
99,(income_Category == Less than $40K) AND (education_Level == ...,❌ AVOID (negative),-0.86,4.4%,233.99,❌ Skip
123,(Total_Trans_Ct <= 92) AND (income_Category == $40K - $60K),❌ AVOID (negative),-0.93,7.4%,233.06,❌ Skip
228,(card_Category == Blue) AND (Avg_Utilization_Ratio > 0) AND ...,❌ AVOID (negative),-0.95,7.4%,232.11,❌ Skip
130,(card_Category == Blue) AND (Avg_Utilization_Ratio > 0) AND ...,❌ AVOID (negative),-0.98,7.4%,231.13,❌ Skip
118,(Avg_Utilization_Ratio <= 0) AND (Naive_Bayes_Classifier_Att...,❌ AVOID (negative),-1.01,4.4%,230.12,❌ Skip
231,(card_Category == Blue) AND (income_Category == $60K - $80K)...,❌ AVOID (negative),-1.01,4.4%,229.11,❌ Skip
242,(Avg_Utilization_Ratio > 0.146) AND (income_Category == $40K...,❌ AVOID (negative),-1.02,4.4%,228.09,❌ Skip
109,(income_Category == Less than $40K) AND (gender == F),❌ AVOID (negative),-1.03,5.9%,227.06,❌ Skip
97,(Avg_Utilization_Ratio > 0.125) AND (education_Level == Uned...,❌ AVOID (negative),-1.03,5.9%,226.03,❌ Skip
93,(Avg_Utilization_Ratio <= 0.125) AND (Avg_Utilization_Ratio ...,❌ AVOID (negative),-1.03,4.4%,225.00,❌ Skip
257,(education_Level == High School),❌ AVOID (negative),-1.05,8.9%,223.95,❌ Skip
214,(Avg_Utilization_Ratio > 0.094) AND (income_Category == $80K...,❌ AVOID (negative),-1.05,4.4%,222.90,❌ Skip
