rank,rule,recommendation,impact,coverage_%,cumulative_impact,suggested_tier
281,(Total_Trans_Amt <= 4724) AND (Avg_Utilization_Ratio > 0) AN...,⚠️ RARE,0.52,5.9%,276.41,Tier 4: Rare
27,(Avg_Utilization_Ratio <= 0.098) AND (Contacts_Count_12_mon ...,⚠️ RARE,0.51,10.3%,276.92,Tier 4: Rare
256,(income_Category == $80K - $120K) AND (education_Level == Co...,⚠️ RARE,0.44,4.4%,277.36,Tier 4: Rare
202,(income_Category == $120K +) AND (Dependent_count <= 3),⚠️ RARE,0.44,8.8%,277.80,Tier 4: Rare
229,(card_Category == Blue) AND (Avg_Utilization_Ratio <= 0.118)...,⚠️ RARE,0.41,5.9%,278.21,Tier 4: Rare
257,(income_Category == $80K - $120K) AND (education_Level == Un...,⚠️ RARE,0.39,4.4%,278.60,Tier 4: Rare
95,(income_Category == $80K - $120K) AND (Total_Trans_Amt <= 26...,⚠️ RARE,0.39,4.4%,278.99,Tier 4: Rare
102,(income_Category == $80K - $120K) AND (Naive_Bayes_Classifie...,⚠️ RARE,0.35,11.8%,279.34,Tier 4: Rare
90,(income_Category == $60K - $80K) AND (attrition_Flag == Exis...,⚠️ RARE,0.35,4.4%,279.69,Tier 4: Rare
222,(card_Category == Blue) AND (Avg_Utilization_Ratio > 0) AND ...,⚠️ RARE,0.31,4.4%,280.00,Tier 4: Rare
4,(Total_Trans_Amt <= 8192) AND (income_Category == $80K - $12...,⚠️ RARE,0.31,10.3%,280.31,Tier 4: Rare
237,(income_Category == $80K - $120K) AND (marital_Status == Mar...,⚠️ RARE,0.26,4.4%,280.57,Tier 4: Rare
163,(card_Category == Blue) AND (CLIENTNUM <= 717788958),⚠️ RARE,0.26,13.3%,280.83,Tier 4: Rare
97,(income_Category == $60K - $80K) AND (card_Category == Blue)...,⚠️ RARE,0.23,5.9%,281.06,Tier 4: Rare
194,(Avg_Utilization_Ratio <= 0.115) AND (education_Level == Gra...,⚠️ RARE,0.23,5.9%,281.29,Tier 4: Rare
70,(card_Category == Blue) AND (Dependent_count > 1) AND (Custo...,⚠️ RARE,0.22,4.4%,281.51,Tier 4: Rare
109,(card_Category == Blue) AND (income_Category == $80K - $120K...,⚠️ RARE,0.17,4.4%,281.68,Tier 4: Rare
16,(Avg_Utilization_Ratio <= 0) AND (Customer_Age <= 44),⚠️ RARE,0.17,5.9%,281.85,Tier 4: Rare
5,(Total_Trans_Amt <= 8192) AND (income_Category == $40K - $60...,⚠️ RARE,0.13,4.4%,281.98,Tier 4: Rare
86,(income_Category == $80K - $120K) AND (Avg_Utilization_Ratio...,⚠️ RARE,0.12,5.9%,282.10,Tier 4: Rare
133,(income_Category == Less than $40K) AND (Total_Amt_Chng_Q4_Q...,⚠️ RARE,0.04,4.4%,282.14,Tier 4: Rare
290,(card_Category == Blue) AND (income_Category == $120K +),⚠️ RARE,0.00,8.8%,282.14,Tier 4: Rare
209,(card_Category == Blue) AND (education_Level == Uneducated),⚠️ RARE,0.00,8.8%,282.14,Tier 4: Rare
56,(education_Level == Unknown),⚠️ RARE,0.00,5.9%,282.14,Tier 4: Rare
57,(education_Level == Uneducated),⚠️ RARE,0.00,10.3%,282.14,Tier 4: Rare
283,(Total_Trans_Amt <= 4724) AND (Avg_Utilization_Ratio > 0) AN...,⚠️ RARE,0.00,4.4%,282.14,Tier 4: Rare
64,(income_Category == $80K - $120K) AND (Total_Trans_Ct > 69),⚠️ RARE,0.00,5.9%,282.14,Tier 4: Rare
125,(card_Category == Blue) AND (Avg_Utilization_Ratio > 0) AND ...,⚠️ RARE,0.00,5.9%,282.14,Tier 4: Rare
65,(income_Category == $60K - $80K) AND (card_Category == Silve...,⚠️ RARE,0.00,5.9%,282.14,Tier 4: Rare
150,(Avg_Utilization_Ratio <= 0.137) AND (income_Category == $60...,⚠️ RARE,0.00,5.9%,282.14,Tier 4: Rare
22,(income_Category == $80K - $120K) AND (card_Category == Blue...,⚠️ RARE,0.00,8.8%,282.14,Tier 4: Rare
19,(income_Category == $80K - $120K) AND (Avg_Utilization_Ratio...,⚠️ RARE,0.00,5.9%,282.14,Tier 4: Rare
72,(card_Category == Blue) AND (Dependent_count > 1) AND (Custo...,⚠️ RARE,0.00,5.9%,282.14,Tier 4: Rare
280,(Total_Trans_Amt <= 4724) AND (Avg_Utilization_Ratio > 0),⚠️ RARE,0.00,19.2%,282.14,Tier 4: Rare
108,(card_Category == Blue) AND (income_Category == $80K - $120K...,⚠️ RARE,0.00,10.3%,282.14,Tier 4: Rare
275,(Avg_Utilization_Ratio > 0.105) AND (education_Level == Coll...,⚠️ RARE,0.00,5.9%,282.14,Tier 4: Rare
30,(Avg_Utilization_Ratio > 0.098) AND (Avg_Utilization_Ratio <...,⚠️ RARE,0.00,4.4%,282.14,Tier 4: Rare
98,(income_Category == $60K - $80K) AND (card_Category == Blue)...,❌ AVOID (negative),-0.04,4.4%,282.10,❌ Skip
132,(income_Category == Less than $40K) AND (Total_Amt_Chng_Q4_Q...,❌ AVOID (negative),-0.07,7.4%,282.03,❌ Skip
148,(Avg_Utilization_Ratio <= 0.137) AND (income_Category == $40...,❌ AVOID (negative),-0.09,4.4%,281.94,❌ Skip
215,(Avg_Utilization_Ratio <= 0.111) AND (Avg_Utilization_Ratio ...,❌ AVOID (negative),-0.09,4.4%,281.85,❌ Skip
218,(Avg_Utilization_Ratio > 0.111) AND (Avg_Utilization_Ratio <...,❌ AVOID (negative),-0.12,11.8%,281.73,❌ Skip
270,(marital_Status == Single) AND (income_Category == $40K - $6...,❌ AVOID (negative),-0.13,4.4%,281.60,❌ Skip
88,(income_Category == $80K - $120K) AND (Total_Trans_Amt <= 25...,❌ AVOID (negative),-0.15,7.4%,281.45,❌ Skip
242,(card_Category == Blue) AND (Avg_Utilization_Ratio > 0) AND ...,❌ AVOID (negative),-0.17,5.9%,281.28,❌ Skip
219,(Avg_Utilization_Ratio > 0.111) AND (Avg_Utilization_Ratio <...,❌ AVOID (negative),-0.17,4.4%,281.11,❌ Skip
284,(Total_Trans_Amt <= 4724) AND (Avg_Utilization_Ratio > 0) AN...,❌ AVOID (negative),-0.17,5.9%,280.94,❌ Skip
197,(Avg_Utilization_Ratio > 0.115) AND (Avg_Utilization_Ratio <...,❌ AVOID (negative),-0.17,4.4%,280.77,❌ Skip
205,(income_Category == $60K - $80K) AND (CLIENTNUM > 715026258),❌ AVOID (negative),-0.22,4.4%,280.55,❌ Skip
91,(income_Category == Less than $40K) AND (Avg_Utilization_Rat...,❌ AVOID (negative),-0.26,4.4%,280.29,❌ Skip
89,(income_Category == $60K - $80K) AND (attrition_Flag == Exis...,❌ AVOID (negative),-0.26,8.8%,280.03,❌ Skip
51,(Total_Trans_Amt <= 6826) AND (income_Category == $40K - $60...,❌ AVOID (negative),-0.31,4.4%,279.72,❌ Skip
177,(Avg_Utilization_Ratio > 0.223) AND (education_Level == Grad...,❌ AVOID (negative),-0.31,4.4%,279.41,❌ Skip
106,(income_Category == $40K - $60K) AND (Total_Trans_Ct > 66),❌ AVOID (negative),-0.31,4.4%,279.10,❌ Skip
80,(Total_Trans_Amt <= 7730) AND (income_Category == $40K - $60...,❌ AVOID (negative),-0.31,4.4%,278.79,❌ Skip
43,(card_Category == Blue) AND (education_Level == Unknown),❌ AVOID (negative),-0.31,10.3%,278.48,❌ Skip
268,(marital_Status == Divorced),❌ AVOID (negative),-0.31,4.4%,278.17,❌ Skip
55,(education_Level == Doctorate) AND (CLIENTNUM > 714754533),❌ AVOID (negative),-0.35,5.9%,277.82,❌ Skip
127,(card_Category == Blue) AND (Avg_Utilization_Ratio > 0) AND ...,❌ AVOID (negative),-0.35,4.4%,277.47,❌ Skip
265,(marital_Status == Married) AND (Avg_Utilization_Ratio <= 0....,❌ AVOID (negative),-0.36,7.4%,277.11,❌ Skip
243,(card_Category == Blue) AND (Avg_Utilization_Ratio > 0) AND ...,❌ AVOID (negative),-0.39,4.4%,276.72,❌ Skip
140,(Avg_Utilization_Ratio <= 0.187) AND (Avg_Utilization_Ratio ...,❌ AVOID (negative),-0.39,4.4%,276.33,❌ Skip
39,(Total_Trans_Amt > 2748) AND (income_Category == $40K - $60K...,❌ AVOID (negative),-0.39,4.4%,275.94,❌ Skip
277,(Avg_Utilization_Ratio > 0.105) AND (education_Level == Unkn...,❌ AVOID (negative),-0.39,4.4%,275.55,❌ Skip
232,(card_Category == Blue) AND (Avg_Utilization_Ratio > 0.118) ...,❌ AVOID (negative),-0.41,5.9%,275.14,❌ Skip
276,(Avg_Utilization_Ratio > 0.105) AND (education_Level == High...,❌ AVOID (negative),-0.44,8.8%,274.70,❌ Skip
71,(card_Category == Blue) AND (Dependent_count > 1) AND (Custo...,❌ AVOID (negative),-0.44,7.4%,274.26,❌ Skip
180,(income_Category == $60K - $80K) AND (card_Category == Blue)...,❌ AVOID (negative),-0.47,5.9%,273.79,❌ Skip
131,(income_Category == $60K - $80K) AND (Avg_Utilization_Ratio ...,❌ AVOID (negative),-0.47,5.9%,273.32,❌ Skip
79,(Total_Trans_Amt <= 7730) AND (income_Category == $60K - $80...,❌ AVOID (negative),-0.48,4.4%,272.84,❌ Skip
238,(income_Category == $40K - $60K) AND (CLIENTNUM <= 718372458...,❌ AVOID (negative),-0.52,5.9%,272.32,❌ Skip
153,(Avg_Utilization_Ratio > 0.137) AND (income_Category == $40K...,❌ AVOID (negative),-0.52,4.4%,271.80,❌ Skip
152,(Avg_Utilization_Ratio > 0.137) AND (income_Category == $80K...,❌ AVOID (negative),-0.52,5.9%,271.28,❌ Skip
73,(card_Category == Blue) AND (Dependent_count > 1) AND (Custo...,❌ AVOID (negative),-0.52,4.4%,270.76,❌ Skip
204,(income_Category == $120K +) AND (Dependent_count <= 3) AND ...,❌ AVOID (negative),-0.52,4.4%,270.24,❌ Skip
24,(income_Category == $80K - $120K) AND (card_Category == Blue...,❌ AVOID (negative),-0.57,4.4%,269.67,❌ Skip
59,(education_Level == High School),❌ AVOID (negative),-0.57,4.4%,269.10,❌ Skip
149,(Avg_Utilization_Ratio <= 0.137) AND (income_Category == $60...,❌ AVOID (negative),-0.58,7.4%,268.52,❌ Skip
94,(income_Category == $80K - $120K) AND (Total_Trans_Amt <= 26...,❌ AVOID (negative),-0.61,8.8%,267.91,❌ Skip
44,(card_Category == Blue) AND (education_Level == High School),❌ AVOID (negative),-0.65,7.4%,267.26,❌ Skip
223,(card_Category == Blue) AND (Avg_Utilization_Ratio > 0) AND ...,❌ AVOID (negative),-0.65,4.4%,266.61,❌ Skip
119,(card_Category == Blue) AND (CLIENTNUM > 717381183) AND (CLI...,❌ AVOID (negative),-0.70,5.9%,265.91,❌ Skip
69,(card_Category == Blue) AND (Dependent_count > 1) AND (Custo...,❌ AVOID (negative),-0.70,23.6%,265.21,❌ Skip
273,(Avg_Utilization_Ratio <= 0.105) AND (income_Category == $40...,❌ AVOID (negative),-0.70,4.4%,264.51,❌ Skip
155,(Avg_Utilization_Ratio > 0.137) AND (income_Category == Less...,❌ AVOID (negative),-0.74,4.4%,263.77,❌ Skip
40,(Total_Trans_Amt > 2748) AND (income_Category == $80K - $120...,❌ AVOID (negative),-0.74,4.4%,263.03,❌ Skip
267,(marital_Status == Married) AND (Avg_Utilization_Ratio > 0.1...,❌ AVOID (negative),-0.78,4.4%,262.25,❌ Skip
196,(Avg_Utilization_Ratio > 0.115) AND (Avg_Utilization_Ratio <...,❌ AVOID (negative),-0.78,8.8%,261.47,❌ Skip
37,(Total_Trans_Amt <= 2748) AND (income_Category == $40K - $60...,❌ AVOID (negative),-0.81,5.9%,260.66,❌ Skip
112,(card_Category == Blue) AND (income_Category == $40K - $60K),❌ AVOID (negative),-0.83,4.4%,259.83,❌ Skip
61,(education_Level == Graduate) AND (marital_Status == Married...,❌ AVOID (negative),-0.87,4.4%,258.96,❌ Skip
258,(income_Category == $60K - $80K) AND (education_Level == Hig...,❌ AVOID (negative),-0.87,4.4%,258.09,❌ Skip
49,(Total_Trans_Amt <= 6826) AND (income_Category == Less than ...,❌ AVOID (negative),-0.87,5.9%,257.22,❌ Skip
154,(Avg_Utilization_Ratio > 0.137) AND (income_Category == Less...,❌ AVOID (negative),-0.87,5.9%,256.35,❌ Skip
120,(card_Category == Blue) AND (CLIENTNUM > 717381183) AND (CLI...,❌ AVOID (negative),-0.87,4.4%,255.48,❌ Skip
181,(income_Category == Less than $40K) AND (marital_Status == S...,❌ AVOID (negative),-0.92,4.4%,254.56,❌ Skip
210,(card_Category == Blue) AND (education_Level == College),❌ AVOID (negative),-0.96,8.8%,253.60,❌ Skip
188,(Avg_Utilization_Ratio > 0.165) AND (Total_Amt_Chng_Q4_Q1 > ...,❌ AVOID (negative),-0.96,8.8%,252.64,❌ Skip
48,(Total_Trans_Amt <= 6826) AND (income_Category == $60K - $80...,❌ AVOID (negative),-0.96,8.8%,251.68,❌ Skip
104,(income_Category == $80K - $120K) AND (Naive_Bayes_Classifie...,❌ AVOID (negative),-0.99,5.9%,250.69,❌ Skip
166,(card_Category == Blue) AND (CLIENTNUM > 717788958) AND (Dep...,❌ AVOID (negative),-0.99,5.9%,249.70,❌ Skip
259,(income_Category == Less than $40K) AND (Avg_Utilization_Rat...,❌ AVOID (negative),-1.00,4.4%,248.70,❌ Skip
96,(income_Category == $80K - $120K) AND (Total_Trans_Amt <= 26...,❌ AVOID (negative),-1.05,4.4%,247.65,❌ Skip
224,(card_Category == Blue) AND (Avg_Utilization_Ratio > 0) AND ...,❌ AVOID (negative),-1.09,7.4%,246.56,❌ Skip
81,(Total_Trans_Amt <= 7730) AND (income_Category == $80K - $12...,❌ AVOID (negative),-1.16,5.9%,245.40,❌ Skip
239,(income_Category == $40K - $60K) AND (CLIENTNUM > 718372458),❌ AVOID (negative),-1.18,4.4%,244.22,❌ Skip
114,(income_Category == $80K - $120K) AND (Total_Amt_Chng_Q4_Q1 ...,❌ AVOID (negative),-1.22,4.4%,243.00,❌ Skip
178,(Avg_Utilization_Ratio > 0.223) AND (education_Level == Doct...,❌ AVOID (negative),-1.22,4.4%,241.78,❌ Skip
206,(income_Category == $60K - $80K) AND (CLIENTNUM <= 715026258...,❌ AVOID (negative),-1.22,4.4%,240.56,❌ Skip
254,(Avg_Utilization_Ratio > 0.186) AND (income_Category == $40K...,❌ AVOID (negative),-1.26,4.4%,239.30,❌ Skip
66,(income_Category == $40K - $60K) AND (card_Category == Blue),❌ AVOID (negative),-1.31,4.4%,237.99,❌ Skip
226,(income_Category == $40K - $60K) AND (education_Level == Gra...,❌ AVOID (negative),-1.31,4.4%,236.68,❌ Skip
144,(Avg_Utilization_Ratio > 0.187) AND (CLIENTNUM <= 719484408),❌ AVOID (negative),-1.31,4.4%,235.37,❌ Skip
292,(card_Category == Blue) AND (income_Category == Unknown) AND...,❌ AVOID (negative),-1.35,4.4%,234.02,❌ Skip
82,(Total_Trans_Amt <= 7730) AND (income_Category == Unknown),❌ AVOID (negative),-1.40,5.9%,232.62,❌ Skip
29,(Avg_Utilization_Ratio > 0.098) AND (Avg_Utilization_Ratio <...,❌ AVOID (negative),-1.40,11.8%,231.22,❌ Skip
244,(card_Category == Blue) AND (Avg_Utilization_Ratio > 0) AND ...,❌ AVOID (negative),-1.40,4.4%,229.82,❌ Skip
111,(card_Category == Blue) AND (income_Category == $60K - $80K)...,❌ AVOID (negative),-1.44,4.4%,228.38,❌ Skip
31,(Avg_Utilization_Ratio > 0.098) AND (Avg_Utilization_Ratio <...,❌ AVOID (negative),-1.45,7.4%,226.93,❌ Skip
